id,created_date,modified_date,person_id,event_id,timeslot_id,sponsor_id,status,attended,referrer_id,custom_signup_field_values
961149,1556031669,1559850718,467354,91154,541134,1391,REGISTERED,True,,[]
961379,1556046484,1605725125,467354,91154,541134,1391,REGISTERED,True,,[]
961562,1556061750,1559850005,438678,91154,541134,1391,REGISTERED,,,[]
961684,1556074554,1559850062,507597,91154,541135,1391,REGISTERED,,,[]
961685,1556074554,1559850273,507597,91154,541136,1391,REGISTERED,,,[]
961686,1556074554,1559850026,507597,91154,541137,1391,REGISTERED,,,[]
964336,1556239906,1559850387,510436,91154,541136,1391,REGISTERED,,,[]
964446,1556245143,1605722829,56206,91154,541137,1391,REGISTERED,False,,[]
964447,1556245143,1559850369,56206,91154,541138,1391,REGISTERED,,,[]
965207,1556310286,1605722829,689,91154,541137,1391,REGISTERED,False,,[]
969877,1556655895,1559850713,6315,91154,541141,1391,REGISTERED,,,[]
969955,1556659602,1605722512,1774,91154,541141,1391,REGISTERED,False,,[]
972695,1556856531,1559850830,277630,91154,541144,1391,REGISTERED,,,[]
978107,1557174879,1559850227,467354,91985,545482,1391,REGISTERED,,,[]
978117,1557175290,1559850227,467354,91985,545483,1391,REGISTERED,,,[]
998738,1557944429,1559851148,467354,91985,548506,1391,REGISTERED,,,[]
998906,1557948665,1559851152,539369,91985,548508,1391,REGISTERED,,,[]
999303,1557951714,1559851160,539653,91985,548506,1391,REGISTERED,,,[]
1001057,1558006031,1559851203,25392,91985,548506,1391,REGISTERED,,,[]
1004663,1558123725,1559848717,187589,91985,548507,1391,REGISTERED,,,[]
1006961,1558205825,1559850926,187589,91985,548508,1391,REGISTERED,,,[]
1008676,1558317358,1559850603,546254,91985,548509,1391,REGISTERED,,,[]
992298,1557602884,1559850761,467354,92623,547202,1391,REGISTERED,,,[]
992397,1557607438,1559850418,56206,92623,547202,1391,REGISTERED,,,[]
994687,1557775900,1559851015,438678,92623,547204,1391,REGISTERED,,,[]
996786,1557860562,1559851086,176261,92623,547205,1391,REGISTERED,,,[]
996954,1557865103,1559851091,537933,92623,547205,1391,REGISTERED,,,[]
997575,1557881096,1559851108,19597,92623,547205,1391,REGISTERED,,,[]
998553,1557937694,1559851142,51695,92623,547206,1391,REGISTERED,,,[]
1001460,1558018774,1559851212,150744,92623,547207,1391,REGISTERED,,,[]
1003527,1558098773,1559851278,542676,92623,547208,1391,REGISTERED,,,[]
1011208,1558472050,1559851402,6315,92623,547212,1391,REGISTERED,,,[]
,1565464320,1658531236,662684,,,1391,,,,[]
,1566068617,1566068680,674087,,,1391,,,,[]
,1566085205,1566092135,674978,,,1391,,,,[]
,1566085572,1566091846,667098,,,1391,,,,[]
,1566085760,1566086180,674999,,,1391,,,,[]
,1566086770,1566092227,478556,,,1391,,,,[]
,1565881991,1565920879,115549,,,1391,,,,[]
,1565734297,1658531234,666529,,,1391,,,,[]
,1565736859,1658531234,666609,,,1391,,,,[]
,1565731876,1658531129,666418,,,1391,,,,[]
,1565630767,1565920895,664545,,,1391,,,,[]
,1565288975,1566093874,659919,,,1391,,,,[]
,1565558230,1566091812,663765,,,1391,,,,[]
,1565558318,1566091812,663767,,,1391,,,,[]
,1565711464,1566095707,665824,,,1391,,,,[]
,1565967238,1566091828,664761,,,1391,,,,[]
,1565265655,1566092263,641864,,,1391,,,,[]
1400586,1569014364,1570107409,704832,110421,696459,1391,REGISTERED,True,,[]
1414655,1569264432,1570066223,619685,110421,696459,1391,REGISTERED,,,[]
1417331,1569286015,1570066225,761938,110421,696459,1391,REGISTERED,,,[]
1443837,1569845359,1570066236,774608,110421,696459,1391,REGISTERED,,,[]
